creator_id,creator_name,category,platform,followers,avg_view_count,engagement_rate,total_campaign_count,total_campaign_budget_krw,avg_campaign_budget_krw,advertiser_rating
C0001,시우로그1,뷰티,유튜브,47098,7543,7.7,3,5097729,1740000,4.7
C0002,탐방기그램2,게임,유튜브,13647,3498,7.2,28,15388730,510000,4.5
C0003,서연스타일3,여행,인스타그램,8514,1508,7.0,9,2116460,220000,3.4
C0004,유나튜브4,교육,인스타그램,289600,123861,3.8,10,29546094,2670000,4.2
C0005,민석일상5,테크,인스타그램,62819,12336,7.5,22,35658537,1860000,4.1
C0006,라이프튜브6,라이프스타일,인스타그램,13485,4769,6.9,2,2149219,980000,4.0
C0007,다현스페이스7,식품,인스타그램,12292,5468,7.9,30,54814883,1850000,4.4
C0008,영희일상8,교육,인스타그램,12560,3235,8.9,3,1994995,600000,4.7
C0009,다은TV9,교육,인스타그램,9252,3524,6.7,1,274173,260000,4.1
C0010,커버리지클립10,라이프스타일,인스타그램,3053,1988,6.8,6,3169083,470000,4.3
C0011,라이프브이로그11,패션,유튜브,5646,1486,7.5,0,0,0,
C0012,예린스타일12,식품,유튜브,261225,31911,5.6,0,0,0,
C0013,지우라이프13,패션,유튜브,87063,11026,7.1,30,52644740,1630000,4.2
C0014,규호다이어리14,게임,인스타그램,47493,10285,7.4,8,3624599,520000,3.8
C0015,현우리뷰15,뷰티,유튜브,137149,26022,6.4,24,166685835,6790000,4.4
C0016,다은TV16,식품,유튜브,61438,11705,7.7,21,12944620,710000,4.9
C0017,지호뷰티17,피트니스,유튜브,10350,988,7.3,3,4686424,1430000,4.5
C0018,채원TALK18,피트니스,유튜브,10956,2803,8.6,1,1227020,1320000,4.3
C0019,시우클립19,게임,인스타그램,78788,14660,8.3,18,12183612,630000,4.9
C0020,민준다이어리20,뷰티,유튜브,142001,32609,5.1,13,44313896,3010000,4.6
C0021,커버리지챌린지21,교육,유튜브,13770,3316,8.7,23,24588442,1160000,3.9
C0022,소민다이어리22,식품,인스타그램,13177,9394,6.1,9,7932444,780000,4.8
C0023,지수스토리23,여행,인스타그램,11900,5477,8.9,1,2080749,1900000,4.2
C0024,수진푸드로그24,식품,유튜브,35374,5772,7.9,21,22085780,1050000,5.0
C0025,소민채널25,라이프스타일,유튜브,20778,1955,7.7,24,34852101,1430000,4.3
C0026,태호다이어리26,아웃도어,유튜브,34410,4891,6.8,28,18183560,580000,4.4
C0027,다은그램27,아웃도어,유튜브,68264,26914,8.2,6,5817297,870000,5.0
C0028,하나다이어리28,여행,유튜브,14489,1935,8.5,27,37899882,1470000,4.5
C0029,수진일상29,피트니스,유튜브,7564,3034,6.8,13,5923912,480000,5.0
C0030,집사스토리30,뷰티,인스타그램,10119,3418,7.2,4,5868021,1310000,4.5
C0031,브로TALK31,라이프스타일,유튜브,11821,3966,8.1,14,10325427,650000,4.9
C0032,커버리지튜브32,라이프스타일,인스타그램,14423,3003,7.1,22,19575662,860000,4.1
C0033,탐방기스타일33,여행,유튜브,10043,3121,6.9,22,20970060,950000,4.7
C0034,하은다이어리34,게임,인스타그램,96167,32538,7.5,8,6581357,920000,3.4
